id,target,pred
2485,0.129398,0.9437232
2489,0.488914,2.787391
2491,1.081512,5.045162
2492,1.940095,3.4935532
2502,99.189072,22.915913
2504,345.398529,40.646572
2511,7.807341,5.8892226
2518,2.601419,1.2798133
2520,14.08467,6.652413
2521,2.467624,1.1441845
2523,3.929958,5.471835
2524,7.101941,3.4472394
2532,5.686345,9.224493
2537,0.890244,10.137644
2539,2.123729,7.393508
2544,9.696435,15.81595
2546,2.054483,2.8109083
2556,8.689523,23.87251
2557,8.826201,19.17245
2558,1.371408,3.4516153
2559,2.995654,2.0555806
2565,2.449574,2.8314748
2568,2.533982,2.3871746
2569,2.379621,1.9030809
2572,1.232057,4.4268684
2598,0.497834,0.65320075
2601,1.496694,1.6277382
2602,3.36532,4.1038246
2604,44.672031,20.174532
2607,1.625752,2.9529996
2612,2.399377,3.337895
2613,0.319736,0.9857919
2617,1.991293,1.5421602
2625,71.488464,35.92501
2629,1.371671,2.827998
2640,0.817209,1.43029
2641,14.232137,9.391063
2648,1.12397,2.8800974
2656,4.365099,2.7596676
2660,1.303321,1.3370025
2675,0.831539,0.7157643
2676,8.771746,5.1882787
2680,1.498783,1.842526
2687,2.520403,1.8368175
2689,1.461771,0.8587947
2690,1.36414,1.6171007
2693,3.870888,5.7087235
2695,11.303139,12.5369835
2701,13.29031,33.395805
2703,1.180714,1.4228165
2704,2.863197,5.3520327
2705,1.458958,1.1671772
2708,1.727614,5.091556
2715,1.354988,1.5182171
2716,1.72403,5.681093
2729,2.356181,7.1924076
2731,0.912058,0.767861
2733,3.669909,4.9300756
2734,11.859058,10.018771
2735,3.867325,3.504423
2747,1.615495,1.9323592
2763,3.070435,7.2876186
2767,1.093374,1.3386167
2773,3.142118,3.8535895
2777,2.714661,4.346592
2790,1.644696,2.153645
2796,11.823718,10.291931
2797,6.062752,8.69993
2799,11.687719,8.853651
2810,14.237281,6.9795833
2811,298.173218,52.55554
2814,2.518822,2.6358697
2816,8.947139,5.129738
2824,1.269455,1.8408011
2828,3.187441,3.649475
2842,2.853649,2.033573
2848,3.095447,2.9473498
2851,1.95477,2.481865
2853,0.185951,0.66109693
2859,2.851804,7.0680256
2863,7.614964,5.127221
2871,2.655212,2.2537165
2874,8.647729,2.88894
2879,6.171968,3.717618
2888,2.41657,3.596897
2902,2.387836,1.4875035
2904,1.830091,3.6000266
2912,1.45362,2.6791394
2916,0.374377,0.6435062
2919,0.382046,0.61211914
2923,38.621597,24.8126
2939,4.149151,3.5821104
2940,1.873709,2.4660864
2941,1.699866,1.7181251
2942,1.382837,0.95740265
2944,1.431087,0.83440065
2945,2.923218,3.4257953
2946,2.551664,1.4126215
2949,1.509527,4.151184
2960,1.1516,1.230171
2968,1.894155,3.71282
2970,16.564592,11.848904
2971,0.374914,0.59342015
2977,0.503283,1.7446427
2983,0.937779,1.6217533
2985,0.836853,0.98671186
2993,1.460237,2.03007
2997,12.770642,36.48049
3002,9.391358,12.768768
3003,7.805295,11.897656
3005,4.270729,7.4471836
3006,2.238657,4.378176
3008,7.840014,8.5510235
3014,9.756414,14.958224
3018,16.742088,9.109134
3020,3.218316,8.574013
3024,7.01481,9.148421
3031,12.444329,5.7138386
3041,1.371341,1.8121467
3054,2.190679,3.434019
3056,1.718148,2.205187
3058,3.642498,14.97064
3061,4.573071,9.217379
3063,7.250436,11.874954
3064,16.362585,13.923815
3067,15.701086,11.2862
3071,3.094222,6.001114
3073,21.295952,12.281231
3074,3.904699,8.203873
3075,7.821585,11.379174
3076,2.522671,6.4087276
3080,0.914848,1.3971045
3083,8.301937,26.567835
3087,10.149995,8.493171
3089,9.326262,10.532595
3092,10.070319,9.720491
3100,4.621332,1.8075845
3108,2.637113,3.1493907
3111,4.900232,3.955657
3112,1.71356,2.575381
3122,0.891913,2.689095
3124,2.80068,4.548134
3125,2.996943,7.4333572
3128,4.461274,2.865693
3136,8.805374,9.549645
3140,0.961512,1.346418
